sku_id,product_name,brand,category,subcategory,unit_price,unit_cost,unit_weight_g,shelf_life_days,is_perishable,supplier_id,barcode,pack_size,reorder_point,safety_stock
SKU_0001,Value Pack Energy Drinks 250g,BRAND_016,Beverages,Energy Drinks,49.33,29.66,2856.0,,False,SUPPLIER_075,,12,120,60
SKU_0002,Pure Juices 6-Pack,BRAND_012,Beverages,Juices,44.89,16.17,760.4,,False,SUPPLIER_069,,1,128,64
SKU_0003,Smooth Coffee & Tea 500ml,BRAND_005,Beverages,Coffee & Tea,42.54,15.74,2412.8,,False,SUPPLIER_072,,6,689,345
SKU_0004,Organic Water 1kg,BRAND_011,Beverages,Water,9.57,6.63,1402.8,,False,SUPPLIER_075,,1,489,245
SKU_0005,Ultra Sodas 6-Pack,BRAND_007,Beverages,Sodas,18.55,12.72,2986.6,,False,SUPPLIER_066,,1,254,127
SKU_0006,Ultra Juices 2L,BRAND_020,Beverages,Juices,14.25,8.49,1919.6,,False,SUPPLIER_075,,1,593,297
SKU_0007,Premium Juices 2L,BRAND_006,Beverages,Juices,22.27,12.11,1979.6,,False,SUPPLIER_014,,36,904,452
SKU_0008,Value Pack Coffee & Tea 24ct,BRAND_016,Beverages,Coffee & Tea,23.51,16.28,1264.1,,False,SUPPLIER_019,,48,98,49
SKU_0009,Premium Sodas 500ml,BRAND_013,Beverages,Sodas,35.8,22.22,2603.1,,False,SUPPLIER_033,,36,573,287
SKU_0010,Premium Energy Drinks 6-Pack,BRAND_007,Beverages,Energy Drinks,36.01,22.78,2996.3,,False,SUPPLIER_046,,12,132,66
SKU_0011,Lite Sodas 1kg,BRAND_004,Beverages,Sodas,16.59,11.08,1612.1,,False,SUPPLIER_053,,6,434,217
SKU_0012,Light Energy Drinks 12-Pack,BRAND_014,Beverages,Energy Drinks,35.05,14.81,941.1,,False,SUPPLIER_013,,1,174,87
SKU_0013,Organic Juices 6-Pack,BRAND_011,Beverages,Juices,7.33,4.92,77.3,,False,SUPPLIER_014,,1,16,8
SKU_0014,Bold Sodas 2L,BRAND_013,Beverages,Sodas,8.55,5.31,2573.7,,False,SUPPLIER_048,,24,244,122
SKU_0015,Ultra Juices 500g,BRAND_006,Beverages,Juices,7.6,4.5,560.2,,False,SUPPLIER_023,,1,492,246
SKU_0016,Deluxe Water 250g,BRAND_006,Beverages,Water,14.01,5.15,1804.0,,False,SUPPLIER_084,,24,205,103
SKU_0017,Deluxe Juices 2L,BRAND_005,Beverages,Juices,34.03,20.55,1722.5,,False,SUPPLIER_013,,12,713,357
SKU_0018,Organic Energy Drinks 1kg,BRAND_001,Beverages,Energy Drinks,34.38,16.12,2867.0,,False,SUPPLIER_041,,1,37,19
SKU_0019,Natural Energy Drinks 150g,BRAND_007,Beverages,Energy Drinks,12.63,7.56,2561.4,,False,SUPPLIER_046,,12,308,154
SKU_0020,Classic Coffee & Tea 1kg,BRAND_004,Beverages,Coffee & Tea,45.87,21.22,1844.0,,False,SUPPLIER_045,,1,196,98
SKU_0021,Farm Energy Drinks 2L,BRAND_015,Beverages,Energy Drinks,9.26,5.44,2545.7,,False,SUPPLIER_025,,12,33,17
SKU_0022,Light Energy Drinks 12-Pack,BRAND_010,Beverages,Energy Drinks,20.45,11.18,2173.4,,False,SUPPLIER_029,,36,453,227
SKU_0023,Pure Sodas 500ml,BRAND_004,Beverages,Sodas,10.51,5.67,2119.1,,False,SUPPLIER_064,,48,568,284
SKU_0024,Bold Sodas 500ml,BRAND_010,Beverages,Sodas,37.37,23.08,2299.6,,False,SUPPLIER_060,,48,227,114
SKU_0025,Smooth Energy Drinks 500g,BRAND_018,Beverages,Energy Drinks,8.79,3.1,1041.6,,False,SUPPLIER_020,,48,644,322
SKU_0026,Deluxe Water 500g,BRAND_009,Beverages,Water,34.46,19.93,2976.5,,False,SUPPLIER_010,,24,510,255
SKU_0027,Pure Sodas 12-Pack,BRAND_003,Beverages,Sodas,39.47,25.31,2472.6,,False,SUPPLIER_020,,12,146,73
SKU_0028,Organic Sodas 1kg,BRAND_003,Beverages,Sodas,3.83,1.41,51.5,,False,SUPPLIER_009,,24,338,169
SKU_0029,Natural Sodas 500g,BRAND_004,Beverages,Sodas,41.41,22.63,1186.8,,False,SUPPLIER_014,,36,152,76
SKU_0030,Natural Juices 2L,BRAND_018,Beverages,Juices,7.16,4.66,995.2,,False,SUPPLIER_045,,6,37,19
SKU_0031,Pure Juices 500ml,BRAND_008,Beverages,Juices,47.29,23.05,2775.5,,False,SUPPLIER_053,,1,30,15
SKU_0032,Bold Energy Drinks 24ct,BRAND_002,Beverages,Energy Drinks,29.91,19.66,1154.7,,False,SUPPLIER_043,,6,102,51
SKU_0033,Organic Juices 24ct,BRAND_009,Beverages,Juices,41.96,18.86,946.2,,False,SUPPLIER_080,,36,59,30
SKU_0034,Classic Juices 2L,BRAND_005,Beverages,Juices,26.34,11.19,461.9,,False,SUPPLIER_016,,12,77,39
SKU_0035,Bold Coffee & Tea 24ct,BRAND_012,Beverages,Coffee & Tea,21.73,10.88,155.9,,False,SUPPLIER_041,,24,517,259
SKU_0036,Deluxe Sodas 6-Pack,BRAND_010,Beverages,Sodas,10.48,6.6,1872.5,,False,SUPPLIER_011,,24,781,391
SKU_0037,Deluxe Juices 1L,BRAND_016,Beverages,Juices,16.37,9.47,2034.9,,False,SUPPLIER_066,,6,114,57
SKU_0038,Value Pack Juices 500ml,BRAND_019,Beverages,Juices,49.73,25.87,1459.9,,False,SUPPLIER_063,,12,47,24
SKU_0039,Farm Juices 24ct,BRAND_014,Beverages,Juices,10.27,4.64,1611.7,,False,SUPPLIER_015,,1,647,324
SKU_0040,Organic Sodas 12-Pack,BRAND_020,Beverages,Sodas,35.39,13.25,1469.3,,False,SUPPLIER_010,,24,567,284
SKU_0041,Light Sodas 12-Pack,BRAND_015,Beverages,Sodas,37.7,17.34,854.8,,False,SUPPLIER_060,,6,71,36
